Source,Target,Count
清華,大學,3679
國立,清華,687
校長,陳力俊,501
研究,團隊,429
清大,校長,385
新竹,清華,383
北京,清華,362
大學,校長,322
全,國,267
研究,成果,263
兩岸,清華,258
高等,教育,207
交通,大學,199
博士,學位,192
大學,教授,188
小,清華,187
奈,米,184
校,內,183
日,電,177
百,年,173
年,校慶,173
研究,中心,170
產,學,159
生命,科學,157
科技,大學,154
跨,領域,152
記者,李青霖,150
科學,研究,149
建,校,148
中心,主任,148
新竹,報導,146
清華,學院,141
學術,列車,139
長期,記憶,130
聯合,新聞網,129
台北,報導,129
學術,研究,128
全,世界,126
名譽,博士,121
屏北,高中,117
大學,今天,115
頂尖,大學,115
全,台,114
清大,教授,114
中央,研究院,111
記者,黃彥瑜,109
科學,系,108
研發,中心,108
工程,學系,108
台積,電,107
馬,總統,107
項,研究,106
教育,中心,101
學,合作,99
中央,大學,99
黃彥瑜,新竹市,98
校長,賀陳弘,97
講座,教授,97
國際,志工,96
人文,社會,96
文教,基金會,95
工程,系,95
大學,排名,95
科技,管理,92
中國,大陸,91
管理,學院,90
腦,科學,89
前,校長,84
新竹,清大,81
世界,大學,81
助理,教授,80
國家,講座,80
高中,學術,80
該,校,79
藝術,中心,78
希望,透過,78
即時,報導,77
頒獎,典禮,77
成功,大學,77
系,教授,76
聯合,研發,76
實驗,專班,75
保種,中心,74
國際,頂尖,73
中央社,記者,73
中山,大學,72
大學,系統,72
理工,學院,71
即日,起,70
大學,副校長,70
生物,科技,68
個人,申請,68
藍,光,68
全,校,67
副校長,葉銘泉,67
多,項,67
研究,領域,67
清大,校園,67
教務長,陳信文,66
傑出,校友,66
