Id,Count
藝術,388
主任,346
葉銘泉,132
多,1339
清華,7186
產,238
北京,567
學院,705
校園,632
中山,132
學術,895
希望,1274
研究院,168
兩岸,647
賀陳弘,258
科學,1499
藍,132
記者,931
校長,1582
校慶,372
日,1471
工程,693
腦,253
實驗,377
副校長,303
年,0
系,469
教育,1306
聯合,410
傑出,384
小,704
學系,272
名譽,162
管理,430
成功,553
長期,359
李青霖,163
台北,478
光,403
志工,413
大陸,533
國家,736
即時,165
新聞網,132
電,411
生命,440
保種,91
清大,5363
陳信文,127
米,246
交通,287
今天,662
生物,426
頒獎,122
基金會,305
人文,240
總統,324
申請,382
個人,267
透過,965
學位,372
講座,439
屏北,124
社會,909
教授,2059
研發,871
合作,1198
研究,3269
奈,188
列車,152
中國,469
排名,417
報導,701
博士,726
全,1027
中央,301
該,454
理工,168
學,456
校友,675
即日,70
百,637
項,866
中心,1410
國,492
世界,954
系統,809
文教,122
頂尖,335
領域,853
黃彥瑜,110
台積,135
校,1431
中央社,94
國立,957
馬,182
成果,555
科技,1151
助理,97
團隊,1418
教務長,170
高等,231
典禮,242
前,1291
大學,7818
陳力俊,961
內,834
跨,240
新竹,1341
台,746
起,470
專班,185
國際,1535
新竹市,336
建,184
記憶,283
高中,731

